OBJECTID,FloodPlainSource,Watershed,Shape__Area,Shape__Length
4966,Engineered,Rouge River,523182.746826172,20564.6849274585
4967,Engineered,Rouge River,25296.2731933594,1602.07277211258
4968,Engineered,Rouge River,58167.5239257812,3581.76499141522
4969,Engineered,Rouge River,62871.5815429688,2670.30348232878
4971,Engineered,Rouge River,42307.9060058594,2073.59798850029
4972,Engineered,Rouge River,43657.5283203125,2120.05153131735
4973,Engineered,Rouge River,42323.384765625,2207.71765760571
4974,Engineered,Rouge River,20655.3669433594,1019.98829340522
4976,Engineered,Rouge River,194971.829345703,6632.36361223789
4978,Engineered,Rouge River,6676.39770507812,467.260731452297
4979,Engineered,Rouge River,198182.220947266,7264.32001188161
4980,Engineered,Rouge River,18264.220703125,1556.61710806504
4981,Engineered,Rouge River,395461.236816406,11449.0187160044
4983,Engineered,Rouge River,12643.4755859375,988.749385599172
4984,Engineered,Rouge River,7043.03369140625,1316.18120425248
4985,Engineered,Rouge River,33040.2038574219,1790.71593516749
4986,Engineered,Rouge River,9500.90405273438,658.062693825914
4987,Engineered,Rouge River,27079.61328125,2059.12820702345
4989,Engineered,Rouge River,50205.8913574219,2596.69796837529
4990,Engineered,Rouge River,368438.745849609,7103.58673391465
4991,Engineered,Rouge River,10180.6870117188,647.748293962599
4992,Engineered,Rouge River,4268.85668945312,306.202790589561
4993,Engineered,Rouge River,89266.7270507812,3785.75518153237
4994,Engineered,Rouge River,29816.9658203125,1455.11905654212
4995,Engineered,Rouge River,340307.896972656,13106.9572774693
4996,Engineered,Rouge River,20853.5749511719,757.475945971945
4997,Engineered,Rouge River,21850.0588378906,635.717396711443
4999,Engineered,Rouge River,621288.399414062,13447.1761648855
5000,Engineered,Rouge River,127707.737792969,4062.14639855088
5001,Engineered,Rouge River,53066.8435058594,2770.92920708482
5002,Engineered,Rouge River,69541.2670898438,2752.41946248416
5003,Engineered,Rouge River,116742.566162109,2760.81626755465
5004,Engineered,Rouge River,4774.64501953125,420.19815296559
5005,Engineered,Rouge River,1577.158203125,883.619569612228
5006,Engineered,Rouge River,71366.1389160156,3349.95553355717
5007,Engineered,Rouge River,477166.724121094,17649.5981277138
5008,Engineered,Rouge River,1260.1279296875,149.028728395873
5009,Engineered,Rouge River,2617.47094726562,350.263277220511
5010,Engineered,Rouge River,391649.538574219,14258.3178189727
5011,Engineered,Rouge River,8340.6416015625,762.194894530718
5012,Engineered,Rouge River,7832.95141601562,719.821657369577
5013,Engineered,Rouge River,6698.39892578125,579.812431032688
5014,Engineered,Rouge River,3607.73388671875,317.916272076282
5015,Engineered,Rouge River,33810.392578125,2381.94527423907
5016,Engineered,Rouge River,13930.462890625,1484.05624630788
5019,Engineered,Rouge River,6725.36987304688,503.219252066827
5020,Engineered,Rouge River,47346.7290039062,1799.81615884471
5021,Engineered,Rouge River,1722935.0456543,45506.1782224067
5022,Engineered,Rouge River,150822.963134766,5598.09958165006
5023,Engineered,Rouge River,2324.96801757812,211.957136449103
5024,Engineered,Rouge River,16953.2082519531,806.057995208332
5026,Engineered,Rouge River,216009.612548828,6198.97286802151
5027,Engineered,Rouge River,306224.259277344,7752.60767996668
5028,Engineered,Rouge River,511.594970703125,82.3877187917927
5029,Engineered,Rouge River,108850.483398438,3978.49663569275
5030,Engineered,Rouge River,285.0732421875,101.044901623566
5031,Engineered,Rouge River,2254.60571289062,691.98647871654
5032,Engineered,Rouge River,15156.6926269531,1045.01646632666
5033,Engineered,Rouge River,3662.21118164062,562.757290935837
5034,Engineered,Rouge River,47136.1870117188,3851.2878629676
5035,Engineered,Rouge River,10574.8662109375,627.889027396998
5036,Engineered,Rouge River,9251.27075195312,876.342440069903
5037,Engineered,Rouge River,5240.89794921875,556.723168063
5038,Engineered,Rouge River,5149.59643554688,455.009455964644
5039,Engineered,Rouge River,543.93701171875,238.213689060458
5040,Engineered,Rouge River,741.359130859375,340.15480690487
5041,Engineered,Rouge River,564.03955078125,342.19254688813
5042,Engineered,Rouge River,540.3134765625,281.899683889161
5043,Engineered,Rouge River,15541.3415527344,1333.18627321713
5044,Engineered,Rouge River,11463.7829589844,754.929505373456
5045,Engineered,Rouge River,51748.0480957031,1403.4445452723
5046,Engineered,Rouge River,1247.33056640625,170.851421951609
5047,Engineered,Rouge River,77943.54296875,4398.00715617322
5048,Engineered,Rouge River,51324.6818847656,3173.73271790358
